PRODUCT_ID,ORDER_ID,CUSTOMER_ID,PRODUCT_CATEGORY_NAME,PAYMENT_VALUE,ORDER_DELIVERED_CUSTOMER_DATE,CUSTOMER_UNIQUE_ID,REVIEW_SCORE,CUSTOMER_CITY,RECENCY,FREQUENCY,MONETARY,RANK,R_Quartile,F_Quartile,M_Quartile,RFMScore,Type
1eba879220bd0981a0e2fbab499ed4e1,62073ec6b54b8e6322037fc0f3591ad3,368f207cdc8f5c93a2b2a5d4cce96ba8,moveis_escritorio,1316.14,2018-04-24 20:36:50,f9172a6495d46451776be8bc8e46032d,2,japeri,175.0,2,2632.28,120.0,3,4,4,344,Regular
680874c570dad71c0a2844cfbf417054,18f4178d9b3c33fa79c1a0d5eb214023,1f68e24da06f36cb8a5243e23c390bcf,moveis_decoracao,305.89,2018-05-14 16:48:43,c01ac50f437f46cc8fffb6d1a01d8631,1,belo horizonte,155.0,2,611.78,3584.0,3,4,4,344,Regular
680874c570dad71c0a2844cfbf417054,d2ebecd13598667c0e664cf7c3eace01,f59d1a0dc2219d4bdb4fc23f0d1d3c07,moveis_decoracao,109.71,2018-02-24 14:48:54,dbe1f72423b35ecd39ebd4170bed945c,1,rio de janeiro,234.0,2,219.42,17636.0,3,4,4,344,Regular
bbf920aa6ac72007a726e6f419156f8f,1d23106803c48c391366ff224513fb7f,b2e6ad00199e893fdee50615ccfda0fd,moveis_decoracao,214.19,2018-02-09 21:38:39,76b61cd27ca2933a2bd2669762fb229a,1,pelotas,249.0,4,856.76,1857.0,3,4,4,344,Regular
4c8056caed5757810b9a68b83c3759e6,d7dd7b5a139c49fb68a6977797599973,545c79b40c22b0a53abea88e0948c862,malas_acessorios,377.94,2018-04-16 17:51:09,5d8f5f50fd2c7fbe8b335d945105a37f,4,sao paulo,183.0,2,755.88,2396.0,3,4,4,344,Regular
556702ebb73d3786a852ad3d5a8ad268,f1ea8b66e6bceacb9d56a84505f36dd1,ebfded4f6875004a5b269c5683a64ab3,construcao_ferramentas_construcao,574.26,2018-03-02 18:29:02,4f68539934cb2c65aa146ff5ddc62646,1,barueri,228.0,2,1148.52,999.0,3,4,4,344,Regular
db7e6804f1a8206a7e51c9a741a09d9e,992cbe3e064cd39f9ccde60a29ffcd3c,6f1f14b51bbc02c293a1429fc4d79826,brinquedos,364.88,2018-02-26 21:22:10,16534282c820ca754b8de47754bb6d1a,1,limeira,232.0,2,729.76,2552.0,3,4,4,344,Regular
701ff123e9085dcc9c2f833efded6374,2dcb16f827ccfc7bff5be2a6deb28bce,1117174c546ffd2ad76d566a3ea131f2,cool_stuff,100.0,2018-04-03 19:38:37,b29b4e8d5cb5574a2c5b54b1401ac5f7,5,aracaju,196.0,2,475.42,5251.5,3,4,4,344,Regular
701ff123e9085dcc9c2f833efded6374,2dcb16f827ccfc7bff5be2a6deb28bce,1117174c546ffd2ad76d566a3ea131f2,cool_stuff,375.42,2018-04-03 19:38:37,b29b4e8d5cb5574a2c5b54b1401ac5f7,5,aracaju,196.0,2,475.42,5251.5,3,4,4,344,Regular
f4d705aa95ccca448e5b0deb6e5290ba,16311a0494e6db86617bc4486d9f1e9e,236b6c73651af91335ddfd6d34f6422c,cama_mesa_banho,100.62,2018-04-13 15:14:26,fdc58370af81e72cd02ee17ff0e3164d,4,sao paulo,186.0,3,301.86,11091.0,3,4,4,344,Regular
f4d705aa95ccca448e5b0deb6e5290ba,3cbf332e7f3e5a7c73f6106f0ba94967,e57ef0c1f8cf325c4269702397720d09,cama_mesa_banho,83.38,2018-02-27 21:49:08,4cba4382020c8e217faee72173ecb0fc,5,salvador,231.0,4,333.52,9427.0,3,4,4,344,Regular
f4d705aa95ccca448e5b0deb6e5290ba,3cbf332e7f3e5a7c73f6106f0ba94967,e57ef0c1f8cf325c4269702397720d09,cama_mesa_banho,83.38,2018-02-27 21:49:08,4cba4382020c8e217faee72173ecb0fc,2,salvador,231.0,4,333.52,9427.0,3,4,4,344,Regular
23ab7bb9eac81e85ec43ed71064cf7ce,cc22d342af66b831ad0992a27a18277d,6d5f1feceb897604838ec6096bd7a2cc,cama_mesa_banho,97.52,2018-05-04 16:52:43,e4fa46d38fc419be0490e8c579ac0636,5,rio de janeiro,165.0,2,195.04,21430.0,3,4,4,344,Regular
c6336fa91fbd87c359e44f5dca5a90ed,f9b4c8173a45d1b57d0bcf5400a6ccd4,c45206e382316020fc79fff63278a3c5,esporte_lazer,208.99,2018-02-07 14:46:44,5cdb73d2cb4862f0ca6436884e34b3a3,1,garopaba,251.0,2,417.98,6445.5,3,4,4,344,Regular
